# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T09:48:33.264253

wavelength[nm],intensity[nW]
1455.660034180,0.000000084
1455.700073242,0.000000083
1455.739990234,0.000000081
1455.779907227,0.000000079
1455.819946289,0.000000067
1455.859985352,0.000000104
1455.900024414,0.000000088
1455.940063477,0.000000111
1455.980102539,0.000000102
1456.020019531,0.000000092
1456.059936523,0.000000096
1456.099975586,0.000000069
1456.140014648,0.000000058
1456.180053711,0.000000081
1456.220092773,0.000000100
1456.260009766,0.000000072
1456.299926758,0.000000080
1456.339965820,0.000000064
1456.380004883,0.000000063
1456.420043945,0.000000098
1456.460083008,0.000000095
1456.500000000,0.000000086
1456.539916992,0.000000083
1456.579956055,0.000000092
1456.619995117,0.000000083
1456.660034180,0.000000086
1456.700073242,0.000000092
1456.739990234,0.000000075
1456.779907227,0.000000050
1456.819946289,0.000000040
1456.859985352,0.000000064
1456.900024414,0.000000043
1456.940063477,0.000000042
1456.980102539,0.000000049
1457.019897461,0.000000069
1457.059936523,0.000000022
1457.099975586,0.000000041
1457.140014648,0.000000049
1457.180053711,0.000000021
1457.220092773,0.000000056
1457.260009766,0.000000062
1457.299926758,0.000000044
1457.339965820,0.000000070
1457.380004883,0.000000052
1457.420043945,0.000000060
1457.460083008,0.000000047
1457.500000000,0.000000059
1457.539916992,0.000000022
1457.579956055,0.000000056
1457.619995117,0.000000047
1457.660034180,0.000000022
1457.700073242,0.000000028
1457.739990234,0.000000037
1457.779907227,0.000000010
1457.819946289,0.000000016
1457.859985352,0.000000031
1457.900024414,0.000000028
1457.940063477,0.000000006
1457.979980469,0.000000026
1458.020019531,0.000000012
1458.059936523,0.000000027
1458.099975586,0.000000030
1458.140014648,0.000000018
1458.180053711,0.000000022
1458.219970703,0.000000024
1458.260009766,0.000000013
1458.299926758,0.000000032
1458.339965820,0.000000024
1458.380004883,0.000000026
1458.420043945,0.000000020
1458.459960938,0.000000010
1458.500000000,0.000000004
