# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T12:13:32.664207

wavelength[nm],intensity[nW]
1459.420043945,0.000000000
1459.459960938,0.000000000
1459.500000000,0.000000000
1459.540039062,0.000000000
1459.579956055,0.000000000
1459.619995117,0.000000000
1459.660034180,0.000000000
1459.699951172,0.000000000
1459.739990234,0.000000015
1459.780029297,0.000000000
1459.820068359,0.000000000
1459.859985352,0.000000000
1459.900024414,0.000000001
1459.939941406,0.000000000
1459.979980469,0.000000000
1460.020019531,0.000000000
1460.060058594,0.000000000
1460.099975586,0.000000000
1460.140014648,0.000000000
1460.179931641,0.000000000
1460.219970703,0.000000000
1460.260009766,0.000000000
1460.300048828,0.000000000
1460.339965820,0.000000000
1460.380004883,0.000000000
1460.419921875,0.000000000
1460.459960938,0.000000000
1460.500000000,0.000000003
1460.540039062,0.000000000
1460.580078125,0.000000000
1460.619995117,0.000000000
1460.660034180,0.000000000
1460.699951172,0.000000000
1460.739990234,0.000000009
1460.780029297,0.000000000
1460.820068359,0.000000000
1460.859985352,0.000000000
1460.900024414,0.000000000
1460.939941406,0.000000000
1460.979980469,0.000000000
1461.020019531,0.000000000
1461.060058594,0.000000000
1461.100097656,0.000000000
1461.140014648,0.000000000
1461.179931641,0.000000000
1461.219970703,0.000000000
1461.260009766,0.000000000
1461.300048828,0.000000000
1461.340087891,0.000000000
1461.380004883,0.000000000
1461.419921875,0.000000000
1461.459960938,0.000000000
1461.500000000,0.000000000
1461.540039062,0.000000000
1461.580078125,0.000000000
1461.619995117,0.000000000
1461.659912109,0.000000000
1461.699951172,0.000000000
1461.739990234,0.000000002
1461.780029297,0.000000000
1461.820068359,0.000000000
1461.860107422,0.000000000
1461.899902344,0.000000000
1461.939941406,0.000000001
1461.979980469,0.000000000
1462.020019531,0.000000001
1462.060058594,0.000000000
1462.100097656,0.000000000
1462.139892578,0.000000011
1462.179931641,0.000000000
1462.219970703,0.000000003
1462.260009766,0.000000008
1462.300048828,0.000000000
1462.340087891,0.000000000
1462.380004883,0.000000007
1462.419921875,0.000000010
1462.459960938,0.000000000
1462.500000000,0.000000000
1462.540039062,0.000000020
1462.580078125,0.000000000
1462.619995117,0.000000000
1462.659912109,0.000000012
1462.699951172,0.000000007
1462.739990234,0.000000006
1462.780029297,0.000000007
1462.820068359,0.000000019
1462.859985352,0.000000020
1462.899902344,0.000000014
1462.939941406,0.000000012
1462.979980469,0.000000012
1463.020019531,0.000000004
1463.060058594,0.000000006
1463.099975586,0.000000023
1463.140014648,0.000000029
1463.179931641,0.000000000
1463.219970703,0.000000005
1463.260009766,0.000000008
1463.300048828,0.000000020
1463.340087891,0.000000038
1463.380004883,0.000000029
1463.419921875,0.000000039
1463.459960938,0.000000027
1463.500000000,0.000000022
1463.540039062,0.000000028
1463.580078125,0.000000046
1463.619995117,0.000000041
1463.660034180,0.000000041
1463.699951172,0.000000048
1463.739990234,0.000000032
1463.780029297,0.000000045
1463.820068359,0.000000048
1463.859985352,0.000000047
1463.900024414,0.000000017
1463.939941406,0.000000066
1463.979980469,0.000000048
1464.020019531,0.000000044
1464.060058594,0.000000048
1464.099975586,0.000000057
1464.140014648,0.000000032
1464.179931641,0.000000067
1464.219970703,0.000000074
1464.260009766,0.000000070
1464.300048828,0.000000066
1464.339965820,0.000000099
1464.380004883,0.000000088
1464.420043945,0.000000088
1464.459960938,0.000000092
1464.500000000,0.000000112
